Ano_1998,Ano_1999,Ano_2000,Ano_2001,Ano_2002,Ano_2003,Ano_2004,Ano_2005,Ano_2006,Ano_2007,Ano_2008,Ano_2009,Ano_2010,Ano_2011,Ano_2012,Ano_2013,Ano_2014,Ano_2015,Ano_2016,Ano_2017,Ano_2018,Ano_2019
2.89,4.4,3.89,2.54,5.6,10.6,7.02,7.38,12.9,9.42,-4.12,-6.52,-66,-201.2,-55.9,-61.8,-30.7,-24.6,-35.8,-21.8,-51.9,-11
4.96,5.63,5.86,5.74,5.92,6.23,7.04,8.31,11.7,17.8,25.9,27.8,33.6,44.9,54.2,68.6,91.2,106.9,105.7,124.9,117.9,111.3
11.5,15.1,12.7,8.98,10.7,10.4,12.7,8.22,10.8,65.2,20.1,-64.3,-24.4,-119.7,-164.8,-143.7,20.9,2.94,2.66,7.5,10.9,5.43
2.32,4.69,6.27,12.4,13.2,21.4,30.1,9.53,11.6,14.3,18.6,14.2,14.6,2.54,-7.72,-2.3,1.1,0.34,10.8,13.4,-11.9,-3.81
10,3.66,5.5,2.86,3.66,-11.9,2.22,-2.35,4.39,9.16,11.3,28.8,34.3,33,75.3,90.6,85.2,96.4,116.6,176.8,259,411.2
2.66,5.89,1.5,1.12,2.23,3.25,2.63,0.414,1.53,1.8,1.91,2.6,6.13,9.85,3.49,7.2,9.47,1.25,4.44,6.4,8.7,7.36
6.52,4.66,5.17,0.081,0.763,-13.1,2.74,-11.5,9.34,8.15,13.7,27.4,12.6,4.31,29.9,41.8,51.9,59.6,62.7,40.4,28.2,14.9
7.39,9.84,-1.61,-41.2,0.888,-21.8,2.14,0.926,1.55,3.23,4.33,44.3,53,12.4,37.1,46.5,47.9,2.64,27.8,0.923,0.693,-7.25
6.61,9.58,16.8,7.89,5.49,9.59,7.08,-42,-78.5,13.5,-114,-82.6,35.2,37.8,41.9,54.1,28.6,44.4,73.7,87.9,102.7,108.9
6.39,5.64,5.36,3.72,4.5,3.93,4.1,7.17,10.7,11.9,9.44,12.3,22.7,46.6,33.3,31,32,22.5,22.3,28,33,35
2.87,3.29,3.63,3.76,11.2,11.5,13.3,16.7,15.5,29.7,42.4,48.7,64.3,53.8,59.9,81.2,67.9,7.57,2.9,9.74,-23.3,10.1
4.78,3.17,3.6,2.87,2.66,1.57,0.381,0.448,0.66,-0.315,1.57,1.66,2.39,3.36,6.14,9.33,2.25,-1.81,6.97,2.72,6.06,10.8
5.39,7.57,9.2,8.27,4.88,4.6,1.1,-20.5,3.21,17,0.609,38.5,76.1,111.8,133.6,142.7,144.2,136,140.2,168.4,175,187.2
0.578,0.078,0.518,2.34,2.82,2.76,1.61,-3.81,-0.031,2.19,0.983,-2.77,5.54,6.27,4.21,18.7,24.8,29.9,51.6,119.3,96.2,47.2
4.77,5.11,7.69,7.68,7.77,9.19,8.26,8.34,8.08,7.67,4.45,7.49,2.45,-7.48,5.75,10.8,-0.21,12.1,17.7,150.9,146.5,76.8
3.51,4.6,10.2,15.3,14.5,16.4,17.8,24.6,33.7,43.8,45.6,36,29.6,25.8,36.1,43.9,42.9,79.3,76.8,91.6,78.4,76.8
8.89,13.5,11,10.5,3.3,3.8,8.95,14.4,21.2,29,31.4,45.8,58,84.8,45.5,49.1,52.9,49.9,59.7,76.2,74.4,47
15.9,15.8,14.6,10.3,14.7,10.4,-4.04,-2.38,-18.8,-87,-30.7,7.31,70.2,77.6,115.1,119.1,109.5,96.6,73.6,81.6,69.5,80.6
-56.5,6.73,7.23,8.41,3.31,2.68,6.87,18.9,30.6,49,62.2,71.9,82.8,98.8,41.4,78.2,89.9,204.5,95.5,52.1,235,125.4
7.14,-3.28,-5.8,2.02,2.61,5.95,11.2,19.7,231.8,560.6,759.2,465.8,485.3,448,-48.5,-18.2,3.8,-45,-404.2,-402.7,27.6,17.1
11.9,16.2,17.3,14.5,11.7,3.98,9.44,8.59,15.5,45.3,45.4,95.5,80.4,102.8,110.5,69.7,101.9,88.4,141.7,138.1,185.3,136
-85.4,-50.3,-19.2,19.9,30.6,-47.5,111.9,11.3,-304.2,26.8,-913.5,-525,802.7,859.2,513.8,324.2,667,660.5,738.8,1428.5,403.3,460.4
20,9.22,10,5.99,-22.2,1.62,0.634,-7.39,-0.982,-3.99,3.7,7.33,7.14,14.8,6.07,13.4,13.3,1.76,127.9,80.2,9.56,53.9
46.7,51.2,37.3,19.2,10.7,9.13,10.1,9.33,49.9,101.8,131.8,231.2,303.4,362.6,369.5,411.7,551.6,769.3,812.6,1108.7,1018.2,1230.8
2.19,3.27,3.99,5.04,3.09,1.66,1.54,1.3,2.08,3.38,50.5,129.5,220.5,329.8,212.2,365.2,335.5,396.4,553.6,868.7,768,665.1
24,28.4,20.4,8.6,7.19,13,39.4,47.5,8.6,14.4,-2.43,28.3,116.1,15.3,49.5,-182.6,-62.8,-53.2,112.5,103,184.9,77.9
-7.49,3.85,1.54,-19.6,-2.13,0.119,4.88,-0.669,-0.225,0.314,0.121,0.054,0.169,6.2,7.88,4.83,2.78,33.6,90.2,155.4,59.8,73.1
-6.4,0.696,4.58,8.79,5.14,4.99,5.64,5.83,6.49,37.3,4.68,7,5.28,-1.18,6.52,20.7,43.9,15.1,119.3,8.41,-2.7,-1.69
40.1,35.7,76.3,97,79.6,120.7,366.7,379.3,408.2,438.5,446.7,247.9,505.8,832.1,429.7,526.9,578.5,484.2,46.9,551.6,392.1,190.7
6.6,5.67,8.05,2.49,4.01,16.1,23.2,30.5,39.7,84.8,116.1,-45.9,71.9,79.3,50.1,50.1,96.5,182,269,378.2,415.4,318
5.64,5.43,9.33,5.5,6.41,11.6,4.66,7.27,-1.62,11.4,12.1,0.825,0.043,8.32,9.98,1.94,3.45,8.68,6.64,10.4,86.3,107.6
